STARTTIME,STOPTIME,STARTTIME_GMT,STOPTIME_GMT,STARTDATE,MARKET_RUN_ID,RESOURCE_TYPE,SCHEDULINGCOORDINATOR_SEQ,RESOURCEBID_SEQ,TIMEINTERVALSTART,TIMEINTERVALEND,TIMEINTERVALSTART_GMT,TIMEINTERVALEND_GMT,PRODUCTBID_DESC,PRODUCTBID_MRID,MARKETPRODUCT_DESC,MARKETPRODUCTTYPE,SELFSCHEDMW,SCH_BID_TIMEINTERVALSTART,SCH_BID_TIMEINTERVALSTOP,SCH_BID_TIMEINTERVALSTART_GMT,SCH_BID_TIMEINTERVALSTOP_GMT,SCH_BID_XAXISDATA,SCH_BID_Y1AXISDATA,SCH_BID_Y2AXISDATA,SCH_BID_CURVETYPE,MINEOHSTATEOFCHARGE,MAXEOHSTATEOFCHARGE
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T08:00:00,2025-07-01T09:00:00,2025-07-01T15:00:00-00:00,2025-07-01T16:00:00-00:00,,,,EN,22.91,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T09:00:00,2025-07-01T10:00:00,2025-07-01T16:00:00-00:00,2025-07-01T17:00:00-00:00,,,,EN,23.72,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T10:00:00,2025-07-01T11:00:00,2025-07-01T17:00:00-00:00,2025-07-01T18:00:00-00:00,,,,EN,24.12,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T11:00:00,2025-07-01T12:00:00,2025-07-01T18:00:00-00:00,2025-07-01T19:00:00-00:00,,,,EN,24.53,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T12:00:00,2025-07-01T13:00:00,2025-07-01T19:00:00-00:00,2025-07-01T20:00:00-00:00,,,,EN,24.99,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T13:00:00,2025-07-01T14:00:00,2025-07-01T20:00:00-00:00,2025-07-01T21:00:00-00:00,,,,EN,24.26,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T14:00:00,2025-07-01T15:00:00,2025-07-01T21:00:00-00:00,2025-07-01T22:00:00-00:00,,,,EN,23.49,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T15:00:00,2025-07-01T16:00:00,2025-07-01T22:00:00-00:00,2025-07-01T23:00:00-00:00,,,,EN,22.75,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T16:00:00,2025-07-01T17:00:00,2025-07-01T23:00:00-00:00,2025-07-02T00:00:00-00:00,,,,EN,21.62,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T17:00:00,2025-07-01T18:00:00,2025-07-02T00:00:00-00:00,2025-07-02T01:00:00-00:00,,,,EN,20.73,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T18:00:00,2025-07-01T19:00:00,2025-07-02T01:00:00-00:00,2025-07-02T02:00:00-00:00,,,,EN,19.49,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T19:00:00,2025-07-01T20:00:00,2025-07-02T02:00:00-00:00,2025-07-02T03:00:00-00:00,,,,EN,18.43,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T20:00:00,2025-07-01T21:00:00,2025-07-02T03:00:00-00:00,2025-07-02T04:00:00-00:00,,,,EN,18.12,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T21:00:00,2025-07-01T22:00:00,2025-07-02T04:00:00-00:00,2025-07-02T05:00:00-00:00,,,,EN,17.69,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T22:00:00,2025-07-01T23:00:00,2025-07-02T05:00:00-00:00,2025-07-02T06:00:00-00:00,,,,EN,17.05,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,108158,524179,2025-07-01T23:00:00,2025-07-02T00:00:00,2025-07-02T06:00:00-00:00,2025-07-02T07:00:00-00:00,,,,EN,16.81,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,GENERATOR,403257,649909,2025-07-01T00:00:00,2025-07-01T13:00:00,2025-07-01T07:00:00-00:00,2025-07-01T20:00:00-00:00,,,,EN,5,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,GENERATOR,403257,649909,2025-07-01T13:00:00,2025-07-01T18:00:00,2025-07-01T20:00:00-00:00,2025-07-02T01:00:00-00:00,,,,EN,4,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,GENERATOR,403257,649909,2025-07-01T18:00:00,2025-07-02T00:00:00,2025-07-02T01:00:00-00:00,2025-07-02T07:00:00-00:00,,,,EN,5,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,INTERTIE,403257,182778,2025-07-01T16:00:00,2025-07-01T19:00:00,2025-07-01T23:00:00-00:00,2025-07-02T02:00:00-00:00,,,,EN,2,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,INTERTIE,403257,182778,2025-07-01T19:00:00,2025-07-01T20:00:00,2025-07-02T02:00:00-00:00,2025-07-02T03:00:00-00:00,,,,EN,1,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,INTERTIE,403257,182778,2025-07-01T20:00:00,2025-07-01T23:00:00,2025-07-02T03:00:00-00:00,2025-07-02T06:00:00-00:00,,,,EN,2,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T00:00:00,2025-07-01T01:00:00,2025-07-01T07:00:00-00:00,2025-07-01T08:00:00-00:00,,,,EN,5.6,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T01:00:00,2025-07-01T02:00:00,2025-07-01T08:00:00-00:00,2025-07-01T09:00:00-00:00,,,,EN,5.5,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T02:00:00,2025-07-01T03:00:00,2025-07-01T09:00:00-00:00,2025-07-01T10:00:00-00:00,,,,EN,5.6,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T03:00:00,2025-07-01T04:00:00,2025-07-01T10:00:00-00:00,2025-07-01T11:00:00-00:00,,,,EN,5.8,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T04:00:00,2025-07-01T05:00:00,2025-07-01T11:00:00-00:00,2025-07-01T12:00:00-00:00,,,,EN,6.5,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T05:00:00,2025-07-01T06:00:00,2025-07-01T12:00:00-00:00,2025-07-01T13:00:00-00:00,,,,EN,7.7,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T06:00:00,2025-07-01T07:00:00,2025-07-01T13:00:00-00:00,2025-07-01T14:00:00-00:00,,,,EN,7.9,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T07:00:00,2025-07-01T08:00:00,2025-07-01T14:00:00-00:00,2025-07-01T15:00:00-00:00,,,,EN,8.3,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T08:00:00,2025-07-01T09:00:00,2025-07-01T15:00:00-00:00,2025-07-01T16:00:00-00:00,,,,EN,9.1,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T09:00:00,2025-07-01T10:00:00,2025-07-01T16:00:00-00:00,2025-07-01T17:00:00-00:00,,,,EN,10,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T10:00:00,2025-07-01T12:00:00,2025-07-01T17:00:00-00:00,2025-07-01T19:00:00-00:00,,,,EN,10.3,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T12:00:00,2025-07-01T14:00:00,2025-07-01T19:00:00-00:00,2025-07-01T21:00:00-00:00,,,,EN,10.5,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T14:00:00,2025-07-01T16:00:00,2025-07-01T21:00:00-00:00,2025-07-01T23:00:00-00:00,,,,EN,10.7,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,403257,392473,2025-07-01T16:00:00,2025-07-01T17:00:00,2025-07-01T23:00:00-00:00,2025-07-02T00:00:00-00:00,,,,EN,10.2,,,,,,,,,,
