RESOURCE ID,RESOURCE NAME,RESOURCE PMAX MW,RESOURCEBID_SEQ,seq_max_mw,n_matches,mean_pct_err,score,confidence
ELECTR_7_PL1X3,ELECTRA PH UNIT 1 & 2 AGGREGATE,93,954013,85,14,0.021890405483045904,13.693534323237358,1.2486696673687434
ELKHRN_1_EESX3,Elkhorn Energy Storage,182.5,883062,174.29,11,0.018789767674194862,10.793312555583856,1.004549599406411
ELLIOT_6_ELIBT1,Elliott Energy Storage,10,376549,10,5,0.03168498168498168,4.841575091575091,1.6590570330273788
ESCNDO_6_EB1BT1,Escondido BESS 1,10,882665,9.84,13,0.021499456099456086,12.72050707070707,1.0862416642137755
ESCNDO_6_EB2BT2,Escondido BESS 2,10,148307,10.81,5,0.026584500466853428,4.867077497665733,2.549006567712134
ESCNDO_6_EB3BT3,Escondido BESS 3,10,347450,9.45,2,0.02666666666666669,1.9466666666666665,1.0104352527710192
ESCNDO_6_UNITB1,CalPeak Power Enterprise Unit 1,48.04,917872,47.1,2,0.02740000000000002,1.9452,Inf
ETIWND_2_FONTNA,FONTANALYTLE CREEK POWERHOUSE P,2.56,190607,2.5,3,0.029126213592233035,2.912621359223301,Inf
ETIWND_6_GRPLND,Grapeland Peaker,45.64,156192,45.3,3,0.004132759209888082,2.9876017223703357,1
EXCHEC_7_UNIT 1,EXCHEQUER HYDRO,94.5,140162,94.5,2,0,2,Inf
FMEADO_7_UNIT,FRENCH MEADOWS HYDRO,16,159739,15,2,0.0191666666666667,1.9616666666666667,1.005982905982906
GARLND_2_GARBT1,Garland B BESS,88,196140,85,2,0.01948051948051948,1.9610389610389611,0.6752005423862606
GARLND_2_GASLR,Garland B,180,106183,179,7,0.020478560098114346,6.8566500793132,2.3638568329148106
GARNET_1_WIND,GARNET WIND ENERGY CENTER,6.5,155043,6.16,2,0.006493506493506438,1.9870129870129871,1.0162347200756174
GARNET_2_COAWD2,Coachella 2,10.8,442155,10.5,5,0.016840063480867678,4.915799682595662,1.2644003991291723
GARNET_2_WIND1,Phoenix,11.2,186392,10.5,2,0.01953953050168806,1.9609209389966238,Inf
GARNET_2_WIND3,San Gorgonio East,12.6,858482,13.4,4,0.032974427994616466,3.868102288021534,1.3016304347826086
GARNET_2_WIND4,Windustries,9.8,916013,10,3,0.01840625905534638,2.944781222833961,1.0119415441149109
GARNET_2_WIND5,Eastwind,3,127538,3,2,0.023809523809523725,1.9523809523809526,1.0024449877750612
GATWAY_2_PL1X3,GATEWAY GENERATING STATION,585,140969,555,7,0.039767255378494945,6.7216292123505355,1
GEYS18_7_UNIT18,GEYSERS UNIT 18 (HEALDSBURG),72,798391,75,2,0.020833333333333332,1.9583333333333333,Inf
GLNARM_7_UNIT 1,GLEN ARM UNIT 1,22.13,190023,24,2,0.013888888888888888,1.9722222222222223,Inf
GLNARM_7_UNIT 4,GLEN ARM UNIT 4,42.42,174755,40,2,0.010059171597633237,1.9798816568047335,1.0095036958817318
GYS5X6_7_UNITS,GEYSERS UNITS 5 & 6 AGGREGATE,98.43,181382,100,6,0.022682161982697124,5.863907028103817,1.4920876458309145
GYS7X8_7_UNITS,GEYSERS UNITS 7 & 8 AGGREGATE,95.8,670863,100,2,0.0379106341313149,1.9241787317373702,Inf
HAASPH_7_PL1X2,HAAS PH UNIT 1 & 2 AGGREGATE,144,107633,144,15,0,15,2.1937248635692717
HIDSRT_2_UNITS,HIGH DESERT POWER PROJECT AGGREGATE,830,203842,820,31,0.015016652893211076,30.534483760310458,1.0046400194508702
HIGGNS_1_COMBIE,Combie South,1.5,713354,1.62,3,0,3,1
HIGHDS_2_H5SSR1,High 5 Solar,100,360176,100,2,0.030583333333333344,1.9388333333333334,1.0056073335625073
HOOVER_2_SCEPT,Hoover DAM - SCE Share,287,158253,275,2,0.0054217025061476486,1.9891565949877048,1.0025154022820897
HUMBPP_1_UNITS3,Humboldt Bay Generating Station 3,65.08,133308,63,33,0.04000759480813341,31.679749371331596,1.0474648540290032
HUMBPP_6_UNITS,Humboldt Bay Generating Station 1,97.62,271794,100,3,0.016594960049170354,2.950215119852489,1.5353121801432954
HYTTHM_2_UNITS,HYATT-THERMALITO PUMP-GEN (AGGREGATE),933.1,952796,880,86,0.019464515109022765,84.32605170062403,1.9356586041436123
INTKEP_2_UNITS,CCSF Hetch_Hetchy Hydro Aggregate,405,879947,404,10,0.01689033189033189,9.831096681096682,1.249206881478237
INTMNT_3_ANAHEIM,Intermountain Power Project,234,107681,223.6,2,0.04054691787086154,1.918906164258277,Inf
INTMNT_3_RIVERSIDE,IPPDYN,136,195432,136,5,0,5,2.5236266554391493
IVANPA_1_UNIT1,Ivanpah 1,126,166139,120,3,0.02007083825265645,2.9397874852420305,1.000703305536019
IVWEST_2_SOLAR1,Imperial Valley West ( Q # 608),150,117281,139,2,0.007142857142857143,1.9857142857142858,1.012301214231803
JOANEC_2_ST3BT3,Santa Ana Storage 3,40,186146,40,3,0.021770833333333333,2.9346875,0.9782291666666666
JOANEC_2_STABT2,Santa Ana Storage 2,20,108602,18.14,19,0.01740267335004176,18.669349206349207,1.0421486797802588
KEARNY_6_SESBT2,Kearny South Energy Storage,10,779880,10.92,6,0.02805555555555555,5.831666666666667,1.5129918628876922
KELSO_2_UNITS,Mariposa Energy,198.03,856960,180,2,0.013357531760435595,1.9732849364791287,1.0008533679878708
KERNRG_1_UNITS,South Belridge Cogen Facility,55.2,628632,50.43,7,0.04389285714285714,6.69275,1.7000698545754747
KERRGN_1_UNIT 1,KERN RIVER HYDRO UNITS 1-4 AGGREGATE,25.6,113235,24.3,2,0,2,0.6666666666666666
KRAMER_1_R1PX3,Resurgence 1 PV,90,105576,91,6,0,6,3.0349653297363375
LCKHT1_2_LH1SR1,Lockhart Solar 1 PV,85,104756,63,71,0.024609871702259815,69.25269910913956,1
LECEF_1_UNITS,LOS ESTEROS ENERGY FACILITY AGGREGATE,309.84,475261,280.39,4,0.026625631313131434,3.893497474747474,1.9670980273114418
LMBEPK_2_UNITA3,"Goose Haven Energy Center, Unit #1",47.75,116743,47.3,2,0.002109704641350241,1.9957805907172994,1
LODI25_6_ERKNG1,LODI STRATEGIC RESERVE,47.97,148758,50,2,0.01259404645076872,1.9748119070984627,1.018387314439946
MCFLND_5_MFSSR1,McFarland Solar A PV,200,135142,200,2,0.02739766081871345,1.9452046783625732,Inf
MIRLOM_2_MLBBTB,Mira Loma BESS B,10,491560,9,15,0.016333333333333325,14.755,1.08273711245643
MONTPH_7_UNITS,MONTICELLO HYDRO AGGREGATE,12.5,184635,11.5,2,0.02941176470588238,1.9411764705882353,Inf
MOORPK_2_CALABS,Calabasas Gas-to-Energy Facility,6.96,211201,6.5,3,0.022222222222222178,2.9333333333333336,Inf
MRGT_6_TGEBT1,Top Gun Energy Storage,30,285521,28,6,0.01515151515151515,5.909090909090909,1.0063073394495412
MSOLAR_2_SOLAR1,Mesquite Solar 1,165,961257,165,2,0.012944983818770227,1.9741100323624596,Inf
MSTANG_2_SOLAR,Mustang,30,984603,29,2,0.016851473592063036,1.9662970528158739,Inf
MSTANG_2_SOLAR3,Mustang 3,40,974145,42,2,0.023000000000000045,1.954,Inf
MSTANG_2_SOLAR4,Mustang 4,30,654478,30,2,0.00470588235294118,1.9905882352941175,Inf
MTWIND_1_MVPWD1,Mountain View Power Project I Repower,66.6,131675,60,14,0.025049793820126495,13.649302886518228,1.007911821362886
MTWIND_1_UNIT 3,Mountain View Power Project III,22.44,165858,20.54,4,0.014927455357142908,3.9402901785714284,1.9833091634412645
NGILAA_5_SDGDYN,NGILAA_5_SDGDYN,57,174744,55,4,0,4,1.0073260073260073
OBERON_5_O2SSR5,Oberon 2B Solar,125,118485,116.92,19,0.025228493665753464,18.520658620350684,1.1227389410823518
OCOTLO_6_OCWSB1,Ocotillo Wells Solar and BESS,50,729047,50,129,0.030303030303030304,125.0909090909091,3.794117647058824
OCTILO_5_WIND,Ocotillo Wind Energy Facility,265,124064,266,5,0.011476652699064968,4.942616736504675,1.002462153124661
OGROVE_6_PL1X2,Orange Grove Energy Center,96,139204,100,2,0.011702127659574483,1.976595744680851,1.0259525124240751
OMAR_2_UNIT 4,KERN RIVER COGENERATION CO. UNIT 4,75,962064,75,3,0,3,1.0045871559633026
OTMESA_2_PL1X3,OTAY MESA ENERGY CENTER,603.68,435045,555,4,0.04597579134808899,3.8160968346076443,0.6394960152758298
OXMTN_6_LNDFIL,Ox Mountain Landfill Generating Plant,10.62,153153,10,2,0.025233918128655004,1.94953216374269,Inf
PALA_6_PGCBT1,Pala Gomez Creek BESS,10,385155,9.5,8,0.013806216931216881,7.889550264550265,1.3395845030881528
PALOMR_2_PL1X3,Palomar Energy Center,588.21,844371,551.7,8,0.03115609631020507,7.750751229518359,1.0064070071799878
PARDEB_6_UNITS,Pardee Power House,30,183275,30,5,0.018911330049261068,4.9054433497536944,2.4527216748768472
PINFLT_7_UNITS,PINE FLAT HYDRO AGGREGATE,198.51,122732,210,2,0.0213333333333333,1.9573333333333334,1.0163076923076924
PIT1_7_UNIT 1,PIT PH 1 UNIT 1,32,687240,32,7,0.007819905213270152,6.945260663507109,1.0062123072345588
PIT3_7_PL1X3,"PIT PH 3 UNITS 1, 2 & 3 AGGREGATE",70.6,428176,70,16,0.01964922401888223,15.685612415697884,1.2437700451025768
PIT4_7_PL1X2,PIT PH 4 UNITS 1 & 2 AGGREGATE,95,131041,93,4,0.02047207446808507,3.9181117021276597,1.3335982648494418
PIT5_7_PL1X2,PIT PH 5 UNITS 1 & 2 AGGREGATE,82,130239,82,7,0.008732309545317675,6.938873833182776,1.7895507291114567
PIT5_7_PL3X4,PIT PH 5 UNITS 3 & 4 AGGREGATE,82,142584,82,10,0.01225534477566998,9.877446552243299,1.1213145347629536
PIT6_7_UNIT 2,PIT PH 6 UNIT 2,40,988619,36.56,2,0.010940146809711582,1.9781197063805769,Inf
PIT7_7_UNIT 2,PIT PH 7 UNIT 2,54.6,806870,55,2,0.028760018859029846,1.9424799622819404,Inf
