RESOURCE ID,RESOURCE NAME,RESOURCEBID_SEQ,n_matches,mean_pct_err,score
ADLIN_1_UNITS,GEYSERS AIDLIN AGGREGATE,865501,1,0.03999999999999995,0.9600000000000001
ADLIN_1_UNITS,GEYSERS AIDLIN AGGREGATE,916581,1,0.008181818181818169,0.9918181818181818
ADMEST_6_SOLAR,Adams East,107393,1,0.037931034482758134,0.9620689655172419
AGUCAL_5_SOLAR1,Agua Caliente Solar,193488,1,0.010474137931034511,0.9895258620689655
AGUCAL_5_SOLAR1,Agua Caliente Solar,475261,1,0.0034482758620690145,0.996551724137931
AKINGS_6_AMESR1,American Kings Solar,101706,1,0.035479452054794566,0.9645205479452055
AKINGS_6_AMESR1,American Kings Solar,124574,1,0.006888888888888939,0.9931111111111111
AKINGS_6_AMESR1,American Kings Solar,277359,1,0.027586206896551724,0.9724137931034482
AKINGS_6_AMESR1,American Kings Solar,418791,1,0.01931506849315064,0.9806849315068493
AKINGS_6_AMESR1,American Kings Solar,676452,1,0.027586206896551724,0.9724137931034482
AKINGS_6_AMESR1,American Kings Solar,828735,2,0.011103448275862066,1.9777931034482759
AKINGS_6_AMESR1,American Kings Solar,993410,1,0.0224444444444444,0.9775555555555556
ALAMIT_7_ES1,Alamitos Energy Storage,113665,1,0.002133333333333288,0.9978666666666667
ALAMIT_7_ES1,Alamitos Energy Storage,117370,1,0.00853333333333334,0.9914666666666666
ALAMIT_7_ES1,Alamitos Energy Storage,125988,1,9.999999999999432e-4,0.9990000000000001
ALAMIT_7_ES1,Alamitos Energy Storage,131448,1,0.016533333333333265,0.9834666666666667
ALAMIT_7_ES1,Alamitos Energy Storage,146716,1,0.05,0.95
ALAMIT_7_ES1,Alamitos Energy Storage,147614,1,0.03939999999999998,0.9606
ALAMIT_7_ES1,Alamitos Energy Storage,152145,1,0.030266666666666612,0.9697333333333333
ALAMIT_7_ES1,Alamitos Energy Storage,154678,1,0.015400000000000063,0.9845999999999999
ALAMIT_7_ES1,Alamitos Energy Storage,155930,1,0.05,0.95
ALAMIT_7_ES1,Alamitos Energy Storage,160461,1,0.04799999999999997,0.9520000000000001
ALAMIT_7_ES1,Alamitos Energy Storage,188521,1,9.999999999999432e-4,0.9990000000000001
ALAMIT_7_ES1,Alamitos Energy Storage,189054,1,0.01700000000000003,0.983
ALAMIT_7_ES1,Alamitos Energy Storage,199925,1,0,1
ALAMIT_7_ES1,Alamitos Energy Storage,202220,1,0.045999999999999944,0.9540000000000001
ALAMIT_7_ES1,Alamitos Energy Storage,204700,1,0.0053333333333334095,0.9946666666666666
ALAMIT_7_ES1,Alamitos Energy Storage,207585,1,0.015699999999999933,0.9843000000000001
ALAMIT_7_ES1,Alamitos Energy Storage,257158,1,0.04189999999999998,0.9581000000000001
ALAMIT_7_ES1,Alamitos Energy Storage,261385,1,0.02173333333333327,0.9782666666666667
ALAMIT_7_ES1,Alamitos Energy Storage,345462,1,0.04200000000000003,0.958
ALAMIT_7_ES1,Alamitos Energy Storage,360176,1,0.04739999999999995,0.9526
ALAMIT_7_ES1,Alamitos Energy Storage,383965,1,0.023799999999999953,0.9762000000000001
ALAMIT_7_ES1,Alamitos Energy Storage,410177,1,0,1
ALAMIT_7_ES1,Alamitos Energy Storage,495058,1,9.999999999999432e-4,0.9990000000000001
ALAMIT_7_ES1,Alamitos Energy Storage,532320,1,0.0040000000000000565,0.996
ALAMIT_7_ES1,Alamitos Energy Storage,699344,1,9.999999999999432e-4,0.9990000000000001
ALAMIT_7_ES1,Alamitos Energy Storage,704863,1,0,1
