"RESOURCE ID","RESOURCE NAME","total_curtailment_events","RESOURCEBID_SEQ","n_matches","confidence","score"
"CHESTN_2_CHWBX2","Chestnut Westside BESS",1,NA,NA,NA,NA
"CHEVMN_2_UNITS","CHEVRON U.S.A. UNITS 1 & 2 AGGREGATE",32,736344,3,0.323469971401335,2.91388888888889
"CHICPK_7_UNIT 1","Chicago Park Powerhouse",4,NA,NA,NA,NA
"CHILLS_1_SYCENG","Sycamore Energy 1",3,NA,NA,NA,NA
"CHILLS_7_UNITA1","Sycamore Energy 2",3,NA,NA,NA,NA
"CHWCHL_1_UNIT","CHOW 2 PEAKER PLANT",1,NA,NA,NA,NA
"CLINESCO_3_PVDYN","CLINES CORNERS",5,914978,2,1,1.96322238666367
"CLINESCO_3_WBDYN","CLINES CORNERS B",1,NA,NA,NA,NA
"CLRMNT_6_CLEBT1","Clairemont Energy Storage",10,143302,6,0,5.73333333333333
"CMBLND_2_DS2BT1","Daggett 2 a BESS",2,NA,NA,NA,NA
"CNTNLA_2_SOLAR1","Centinela Solar Energy I",7,124574,2,1,1.94868236427519
"COCOPP_2_CTG3","Marsh Landing 3",2,NA,NA,NA,NA
"COGNAT_1_UNIT","Stockton Biomas",3,NA,NA,NA,NA
"COLGAT_7_UNIT 1","Colgate Powerhouse Unit 1",2,NA,NA,NA,NA
"COLGAT_7_UNIT 2","Colgate Powerhouse Unit 2",6,NA,NA,NA,NA
"COLGNS_2_CNSSR1","ColGreen North Shore",2,NA,NA,NA,NA
"COLUSA_2_PL1X3","Colusa Generating Station",22,101489,2,1,2
"COLVIL_7_PL1X2","COLLIERVILLE HYDRO UNIT 1 & 2 AGGREGATE",21,201370,4,1,3.88302482998826
"CONTRL_1_LUNDY","LUNDY",10,163107,3,0.333333333333333,3
"CONTRL_1_POOLE","POOLE HYDRO PLANT 1",6,814548,4,0.0332268338608229,3.96623433372396
"CONTRL_1_RUSHCK","RUSH CREEK",15,151598,2,0.0110732538330495,1.95666666666667
"COVERD_2_MCKHY1","Montgomery Creek Hydro",5,133011,2,1,1.9047619047619
"COWCRK_2_UNIT","Cow Creek Hydro",1,NA,NA,NA,NA
"CRELMN_6_RAMSR3","Ramona Solar Energy",1,NA,NA,NA,NA
"CRESTA_7_PL1X2","CRESTA PH UNIT 1 & 2 AGGREGATE",57,179949,8,0.243224743673492,7.78409090909091
"CRIMSN_2_CRMBT1","Crimson",50,NA,NA,NA,NA
"CRIMSN_2_CRMBT2","Crimson 2",12,589872,3,0.00535982520824807,2.9292
"CRSTWD_6_KUMYAY","Kumeyaay Wind Farm",27,997249,6,0.172774180459846,5.90290322580645
"CSCCOG_1_UNIT 1","SANTA CLARA CO-GEN",2,NA,NA,NA,NA
"CSLR4S_2_SOLAR","Csolar IV South",1,NA,NA,NA,NA
"DEADCK_1_UNIT","DEADCK_1_UNIT",6,148199,4,0,3.89041095890411
"DELAMO_2_ALASB2","Los Alamitos 2",4,643213,2,0,2
"DELSUR_6_CREST","Delsur Aggregate Solar Resources",1,NA,NA,NA,NA
"DELTA_2_PL1X4","DELTA ENERGY CENTER AGGREGATE",6,NA,NA,NA,NA
"DIABLO_7_UNIT 1","Diablo Canyon Unit 1",33,126417,10,0.203016443329362,9.93205148833468
"DIABLO_7_UNIT 2","Diablo Canyon Unit 2",10,195335,2,1,1.99493927125506
"DONNLS_7_UNIT","Donnells Hydro",2,NA,NA,NA,NA
"DRACKR_2_DSUBT1","Dracker Solar Unit 1 BESS",98,140316,40,0.0243949098423806,39.1726627889945
"DRACKR_2_DSUBT2","Dracker Solar Unit 2 BESS",3,NA,NA,NA,NA
"DRACKR_2_DSUBT4","Dracker Solar Unit 4 BESS",1,NA,NA,NA,NA
"DREWSR_2_BHSSR1","Blue Hornet Solar",1,NA,NA,NA,NA
"DREWS_6_PL1X4","Drews Generating Plant",13,186841,5,0.213896855482474,4.99033816425121
"DRUM_7_PL1X2","Drum PH 1 Units 1 & 2 Aggregate",16,591854,2,0.00155520995334368,1.97846153846154
"DRUM_7_PL3X4","Drum PH 1 Units 3 & 4 Aggregate",36,171240,5,0.0148805542283804,4.9922480620155
"DRUM_7_UNIT 5","DRUM PH 2 UNIT 5",1,NA,NA,NA,NA
"DSFLWR_2_WS2SR1","Willow Springs 2",4,NA,NA,NA,NA
"DSRTHV_2_DH2SR2","Desert Harvest 2",1,NA,NA,NA,NA
"DSRTSL_2_SOLAR1","Desert Stateline",13,201021,4,0.231773472801086,3.8681057027987
"DSRTSN_2_DS2X2","Desert Sunlight PV II Storage",2,263628,2,1,1.93481481481481
"DUANE_1_PL1X3","DONALD VON RAESFELD POWER PROJECT",12,514544,3,0.354074074074074,3
"DVLCYN_1_UNITS","DEVIL CANYON HYDRO UNITS 1-4 AGGREGATE",95,319098,25,0.0760153911964163,24.3600744360902
"EASTWD_7_UNIT","EASTWOOD PUMP-GEN",10,983166,2,1,1.95555555555556
