"generator","generator_name","curtailment_date","pmax_mw","curtailment_mw","expected_available_mw","RESOURCEBID_SEQ","daily_max_mw","mw_error","pct_error"
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-11,820,31.2,788.8,166600,799.47,10.6700000000001,0.0135268762677486
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-11,820,34,786,166600,799.47,13.47,0.0171374045801527
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-12,820,31.2,788.8,166600,799.47,10.6700000000001,0.0135268762677486
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-12,820,34,786,166600,799.47,13.47,0.0171374045801527
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-16,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-16,820,31.2,788.8,166600,799.47,10.6700000000001,0.0135268762677486
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-17,820,31.2,788.8,166600,799.47,10.6700000000001,0.0135268762677486
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-18,820,31.2,788.8,166600,799.47,10.6700000000001,0.0135268762677486
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-19,820,31.2,788.8,166600,799.47,10.6700000000001,0.0135268762677486
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-20,820,31.2,788.8,166600,799.47,10.6700000000001,0.0135268762677486
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-23,820,31.2,788.8,166600,799.47,10.6700000000001,0.0135268762677486
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-23,820,34,786,166600,799.47,13.47,0.0171374045801527
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-02-24,820,34,786,166600,799.47,13.47,0.0171374045801527
