RESOURCE ID,RESOURCE NAME,total_outage_events,RESOURCEBID_SEQ,n_matches,confidence,score
BEJNLS_5_BV2SCEDYN,BEJNLS_5_BV2SCEDYN,1,255016.0,1.0,0.228070175438597,0.682634730538922
BEKWJS_5_BV1SCEDYN,BEKWJS_5_BV1SCEDYN,1,190770.0,1.0,0.0,0.769230769230769
BELDEN_7_UNIT 1,BELDEN_7_UNIT 1,3,479608.0,3.0,0.102272727272727,2.21848739495798
BERCYN_2_BCEBT1,BERCYN_2_BCEBT1,1,,,,
BGSKYN_2_AS2SR1,BGSKYN_2_AS2SR1,9,,,,
BGSKYN_2_ASPSR2,BGSKYN_2_ASPSR2,1,,,,
BGSKYN_2_ASSR1B,BGSKYN_2_ASSR1B,10,603185.0,10.0,0.294117647058824,10.0
BGSKYN_2_ASSR3A,BGSKYN_2_ASSR3A,8,,,,
BGSKYN_2_ASSR3B,BGSKYN_2_ASSR3B,3,766252.0,3.0,0.333333333333333,3.0
BGSKYN_2_BS3SR3,BGSKYN_2_BS3SR3,6,,,,
BIGCRK_2_EXESWD,BIGCRK_2_EXESWD,1,246186.0,1.0,0.64,0.213414634146341
BIGSKY_2_AS2BT1,BIGSKY_2_AS2BT1,2,,,,
BIGSKY_2_ASLBT2,BIGSKY_2_ASLBT2,4,,,,
BIGSKY_2_BSKSR6,BIGSKY_2_BSKSR6,3,,,,
BIGSKY_2_BSKSR7,BIGSKY_2_BSKSR7,2,,,,
BIGSKY_2_BSKSR8,BIGSKY_2_BSKSR8,2,102291.0,2.0,0.5,2.0
BIGSKY_2_SOLAR1,BIGSKY_2_SOLAR1,2,217748.0,2.0,0.267782426778243,1.912
BIGSKY_2_SOLAR2,BIGSKY_2_SOLAR2,2,,,,
BIGSKY_2_SOLAR3,BIGSKY_2_SOLAR3,2,,,,
BIGSKY_2_SOLAR4,BIGSKY_2_SOLAR4,2,,,,
BIGSKY_2_SOLAR5,BIGSKY_2_SOLAR5,1,445378.0,1.0,0.674,1.0
BIGSKY_2_SOLAR6,BIGSKY_2_SOLAR6,1,,,,
BIGSKY_2_SOLAR7,BIGSKY_2_SOLAR7,3,,,,
BIOMAS_1_UNIT 1,BIOMAS_1_UNIT 1,2,109052.0,1.0,0.0,0.980392156862745
BISHOP_1_ALAMO,BISHOP_1_ALAMO,1,865499.0,1.0,0.847457627118644,0.880597014925373
BKRFLD_2_SOLAR1,BKRFLD_2_SOLAR1,1,,,,
BLACK_7_UNIT 1,BLACK_7_UNIT 1,14,196140.0,14.0,0.363949579831933,14.0
BLACK_7_UNIT 2,BLACK_7_UNIT 2,12,883285.0,12.0,0.258026159334126,12.0
BLAST_1_WIND,BLAST_1_WIND,1,,,,
BLCKBT_2_STONEY,BLCKBT_2_STONEY,5,233734.0,5.0,0.838709677419355,5.0
BLCKWL_6_SOLAR1,BLCKWL_6_SOLAR1,1,,,,
BLKCRK_2_GMCBT1,BLKCRK_2_GMCBT1,3,,,,
BLKCRK_2_SOLAR1,BLKCRK_2_SOLAR1,1,,,,
BLKDIA_2_BDEBT1,BLKDIA_2_BDEBT1,2,199228.0,2.0,0.271428571428571,1.75
BLM W_2_COSBT1,BLM W_2_COSBT1,1,267185.0,1.0,0.0833333333333334,1.0
