"generator","generator_name","RESOURCEBID_SEQ","n_matches","pmax_mw","max_mw","mean_pct_err","score","confidence"
"KERNRG_1_UNITS","South Belridge Cogen Facility",628632,7,55.2,50.43,0.0438928571428571,6.69275,0.411788876022562
"ELLIOT_6_ELIBT1","Elliott Energy Storage",376549,5,10,10,0.0316849816849817,4.84157509157509,0.3972479667108
"JOANEC_2_ST3BT3","Santa Ana Storage 3",741263,5,40,36.8,0.015625,4.921875,0.39047619047619
"KERRGN_1_UNIT 1","KERN RIVER HYDRO UNITS 1-4 AGGREGATE",124287,5,25.6,26,0.0217866526537047,4.89106673673148,0.386636870548041
"DUANE_1_PL1X3","DONALD VON RAESFELD POWER PROJECT",514544,3,147.8,141,2.25569122463524e-16,3,0.354074074074074
"ADLIN_1_UNITS","GEYSERS AIDLIN AGGREGATE",316580,3,22,20,0.00814814814814817,2.97555555555556,0.35195872089076
"KEARNY_6_SESBT2","Kearny South Energy Storage",779880,6,10,10.92,0.0280555555555555,5.83166666666667,0.339057912650368
"CONTRL_1_LUNDY","LUNDY",163107,3,3,2.7,9.25185853854297e-17,3,0.333333333333333
"TIGRCK_7_UNITS","TIGER CREEK HYDRO AGGREGATE",195278,3,62,60,0.032258064516129,2.90322580645161,0.331555555555556
"GYS5X6_7_UNITS","GEYSERS UNITS 5 & 6 AGGREGATE",181382,6,98.43,100,0.0226821619826971,5.86390702810382,0.329798083380605
"CENTPD_2_BMSSX2","Blythe Mesa Solar",238485,3,223.6,210,0.0336700336700337,2.8989898989899,0.328596994000371
"ARCOGN_2_UNITS","WATSON COGENERATION",219791,3,305,290,0.0127371273712737,2.96178861788618,0.327971147100985
"CHEVMN_2_UNITS","CHEVRON U.S.A. UNITS 1 & 2 AGGREGATE",736344,3,124.87,114.8,0.0287037037037037,2.91388888888889,0.323469971401335
"ELCAJN_6_EB1BT1","Eastern BESS 1",372178,155,7.5,7,0,155,0.323447283898897
"SPICER_1_UNITS","SPICER HYDRO UNITS 1-3 AGGREGATE",553779,3,6,6,0.0312499999999999,2.90625,0.311827956989247
"AVSOLR_2_SOLAR","AV SOLAR RANCH 1",492855,13,241.5,240,0.0114042933810376,12.8517441860465,0.306970059508545
"CALFTS_2_CFSSR1","California Flats Solar South",576455,7,150,150,0.0233289646133682,6.83669724770642,0.294036104513719
"WESCAN_2_BDSBT1","Bateria Del Sur",167201,7,131,140,0.0310697452762895,6.78251178306597,0.283872551571561
"PALA_6_PGCBT1","Pala Gomez Creek BESS",385155,8,10,9.5,0.0138062169312169,7.88955026455027,0.253499874256015
"PIT4_7_PL1X2","PIT PH 4 UNITS 1 & 2 AGGREGATE",131041,4,95,93,0.0204720744680851,3.91811170212766,0.250148994372832
"TULLCK_7_UNITS","Tullock Hydro",809558,4,25.9,25.08,0.0101010101010102,3.95959595959596,0.25
"SPAULD_6_UNIT12","SPAULDING HYDRO PH 1 & 2 AGGREGATE",513723,4,11.4,11.5,0.038474025974026,3.8461038961039,0.249535708255951
"CRESTA_7_PL1X2","CRESTA PH UNIT 1 & 2 AGGREGATE",179949,8,70.4,70,0.0269886363636364,7.78409090909091,0.243224743673492
"TIFFNY_1_DILLON","TIFFNY_1_DILLON",939948,4,45,45,0.0299055732362041,3.88037770705518,0.232391600802878
"DSRTSL_2_SOLAR1","Desert Stateline",201021,4,296.19,276,0.032973574300324,3.8681057027987,0.231773472801086
"GARNET_2_WIND3","San Gorgonio East",858482,4,12.6,13.4,0.0329744279946165,3.86810228802153,0.231732776617954
"BERCYN_2_BCEBT1","Bear Canyon Energy Storage",153772,4,13,14,0.0437689393939394,3.82492424242424,0.215670740161223
"DREWS_6_PL1X4","Drews Generating Plant",186841,5,41.4,38.39,0.00193236714975848,4.99033816425121,0.213896855482474
"GARNET_2_COAWD2","Coachella 2",442155,5,10.8,10.5,0.0168400634808677,4.91579968259566,0.209111290467223
"SLATE_2_SLASR2","SLATE_2",561157,5,93,100,0.0196078431372548,4.90196078431373,0.204093284018879
"DIABLO_7_UNIT 1","Diablo Canyon Unit 1",126417,10,1150,1150,0.00679485116653259,9.93205148833468,0.203016443329362
"BLAST_1_WIND","Mountain View IV Wind",106763,5,49,52.73,0.0211451007860484,4.89427449606976,0.20103090222056
"INTKEP_2_UNITS","CCSF Hetch_Hetchy Hydro Aggregate",879947,10,405,404,0.0168903318903319,9.83109668109668,0.199492081874654
"ELECTR_7_PL1X3","ELECTRA PH UNIT 1 & 2 AGGREGATE",954013,14,93,85,0.0218904054830459,13.6935343232374,0.199147680020731
"SLATE_2_SLASR3","SLATE_3",435258,5,67.5,62.34,0.0361797752808988,4.81910112359551,0.196782466775472
"SUNCAT_2_A1BBT1","Arlington Solar Unit 1B BESS",615344,26,63,64.66,0.0273483713410988,25.2889423451314,0.19650299371763
"PIT3_7_PL1X3","PIT PH 3 UNITS 1, 2 & 3 AGGREGATE",428176,16,70.6,70,0.0196492240188822,15.6856124156979,0.195992857411574
"PARDSE_6_PESBT1","Paradise Energy Storage",347450,5,10,9.45,0.039440353460972,4.80279823269514,0.194858742802688
"USWNDR_2_SMUD","SOLANO WIND FARM",837024,5,102.18,100,0.0347636655487717,4.82618167225614,0.179523195799752
"CRSTWD_6_KUMYAY","Kumeyaay Wind Farm",997249,6,50,50.5,0.0161827956989247,5.90290322580645,0.172774180459846
"BLVRDE_6_BLVBT1","Boulevard Energy Storage",284463,8,10,10,0.0233404382973348,7.81327649362132,0.128368799944259
"OBERON_5_O2SSR5","Oberon 2B Solar",118485,19,125,116.92,0.0252284936657535,18.5206586203507,0.109320997598986
"PIT5_7_PL3X4","PIT PH 5 UNITS 3 & 4 AGGREGATE",142584,10,82,82,0.01225534477567,9.8774465522433,0.108189567692173
"PACLUM_6_UNIT","Humboldt Redwood",198465,9,28.8,28,0.0404040404040404,8.63636363636364,0.092421052631579
"ESCNDO_6_EB1BT1","Escondido BESS 1",882665,13,10,9.84,0.0214994560994561,12.7205070707071,0.0793945464025241
"MIRLOM_2_MLBBTB","Mira Loma BESS B",491560,15,10,9,0.0163333333333333,14.755,0.0764147746526601
"DVLCYN_1_UNITS","DEVIL CANYON HYDRO UNITS 1-4 AGGREGATE",319098,25,235,250,0.025597022556391,24.3600744360902,0.0760153911964163
"WISHON_6_UNITS","Wishon/San Joaquin  #1-A AGGREGATE",164152,14,18.4,17,0.0199840127897683,13.7202238209432,0.0745358502291618
"HUMBPP_1_UNITS3","Humboldt Bay Generating Station 3",133308,33,65.08,63,0.0400075948081334,31.6797493713316,0.0453140302000902
"JOANEC_2_STABT2","Santa Ana Storage 2",108602,19,20,18.14,0.0174026733500418,18.6693492063492,0.0404440178239692
"CONTRL_1_POOLE","POOLE HYDRO PLANT 1",814548,4,11.07,10,0.00844141656901106,3.96623433372396,0.0332268338608229
"OGROVE_6_PL1X2","Orange Grove Energy Center",139204,2,96,100,0.0117021276595745,1.97659574468085,0.0252960172228203
"DRACKR_2_DSUBT1","Dracker Solar Unit 1 BESS",140316,40,63,60,0.0206834302751372,39.1726627889945,0.0243949098423806
"SISPRG_2_DS3BT1","Daggett Solar 3 a BESS",352614,2,61.5,61.5,0,2,0.0189666448659254
"LODI25_6_ERKNG1","LODI STRATEGIC RESERVE",148758,2,47.97,50,0.0125940464507687,1.97481190709846,0.0180553254927944
"PINFLT_7_UNITS","PINE FLAT HYDRO AGGREGATE",122732,2,198.51,210,0.0213333333333333,1.95733333333333,0.0160460187708144
"GARNET_1_WIND","GARNET WIND ENERGY CENTER",155043,2,6.5,6.16,0.00649350649350644,1.98701298701299,0.0159753645047763
"DRUM_7_PL3X4","Drum PH 1 Units 3 & 4 Aggregate",171240,5,28.9,27,0.00155038759689935,4.9922480620155,0.0148805542283804
"SLSTR2_2_SOLAR2","Solar Star 2",360573,2,276,250,0.0167892156862745,1.96642156862745,0.0147575719805559
"TRNQLT_2_RETBT1","RE Tranquillity BESS",116825,2,72,70,0,2,0.0125714285714287
"IVWEST_2_SOLAR1","Imperial Valley West ( Q # 608)",117281,2,150,139,0.00714285714285714,1.98571428571429,0.0121517331589275
